Facility ID,Name,City,Site Address,Work Area,# of Attempts,# of Pos Buys,Most Recent was pos,Had AC,In Appeal,Days Since Last Attempt,Priorty,Can Visit
348,KROGER #587,COLUMBUS,1350 N HIGH ST,9,4,1,1,0,0,35,6,1
349,KROGER #587 LIQUOR STORE,COLUMBUS,1300 N HIGH ST,9,3,0,0,0,0,5,1,0
350,KROGER #598,COLUMBUS,3600 SOLDANO BLVD,10,5,1,0,0,0,17,1,1
351,KROGER #623,GALLOWAY,5800 W BROAD ST,5,2,0,0,0,0,33,5,1
352,KROGER #815,COLUMBUS,3637 S HIGH ST,12,2,1,1,0,0,20,10,1
353,KROGER #818,COLUMBUS,2090 CROWN PLAZA DR,2,0,0,0,0,0,0,20,1
354,KROGER #839,COLUMBUS,1177 POLARIS PKWY,1,5,1,1,0,0,10,6,0
355,KROGER #853,COLUMBUS,7000 E BROAD ST,7,4,1,0,0,0,8,1,0
356,KROGER #867,HILLIARD,2525 HILLIARD ROME RD,5,1,0,0,0,0,19,10,1
357,KROGER #871 FUEL CENTER,COLUMBUS,5420 N HAMILTON RD,4,3,0,0,0,0,4,1,0
358,KROGER #879,COLUMBUS,1425 WORTHINGTON CTR DR,2,3,0,0,0,0,24,1,1
359,KROGER #881,NEW ALBANY,5161 HAMPSTED VILLAGE CENTER WY,4,1,0,0,0,0,9,10,0
360,KROGER #893,COLUMBUS,1441 PARSONS AVE,14,4,1,0,0,0,25,1,1
361,KROGER #942,COLUMBUS,1375 CHAMBERS RD,8,3,0,0,0,0,3,1,0
362,KROGER #971,COLUMBUS,3417 N HIGH ST,6,3,0,0,0,0,19,1,1
363,KROGER #990,COLUMBUS,2161 EAKIN RD,11,3,1,0,0,0,10,1,0
364,KROGER #N-514,COLUMBUS,3588 GENDER RD,12,3,1,0,0,0,12,1,0
365,KROGER #N-819,COLUMBUS,199 GRACELAND BLVD,6,5,0,0,0,0,14,1,1
366,KROGER FUEL CENTER #315,COLUMBUS,2000 E MAIN ST,14,3,0,0,0,0,34,1,1
367,KROGER FUEL CENTER #519,COLUMBUS,1585 GEORGESVILLE SQUARE DR,11,3,0,0,0,0,2,1,0
368,KROGER FUEL CENTER #598,COLUMBUS,85 N WILSON RD,10,1,0,0,0,0,13,10,0
369,KROGER FUEL CENTER #623,GALLOWAY,5750 W BROAD ST,5,5,1,1,0,1,9,6,0
370,KROGER FUEL CENTER #815,COLUMBUS,3637 S HIGH ST,12,5,0,0,0,0,22,1,1
371,KROGER FUEL CENTER #818,COLUMBUS,2090 CROWN PLAZA DR,2,1,0,0,0,0,4,10,0
372,KROGER FUEL CENTER #839,COLUMBUS,1177 POLARIS PKWY,1,5,2,1,1,0,25,6,1
373,KROGER FUEL CENTER #853,COLUMBUS,77 N REYNOLDSBURG NEW ALBANY RD,7,1,1,1,0,0,31,15,1
374,KROGER FUEL CENTER #879,COLUMBUS,1425 WORTHINGTON CENTRE DR,2,3,1,0,0,0,10,1,0
375,KROGER FUEL CENTER #881,NEW ALBANY,5161 HAMPSTED VILLAGE CENTER WY,4,5,1,1,0,1,28,6,0
376,KROGER FUEL CENTER #893,COLUMBUS,1415 PARSONS AVE,14,2,1,1,0,0,15,10,1
377,KROGER FUEL CENTER #942,COLUMBUS,1765 NORTHWEST BLVD,8,2,0,0,0,0,16,5,1
378,KROGER FUEL CENTER #990,COLUMBUS,2161 EAKIN RD,11,3,0,0,0,0,35,1,1
379,KROGER FUEL CENTER #N-514,CANAL WINCHESTER,3598 GENDER RD,12,4,0,0,0,0,6,1,0
380,KROGER N593,COLUMBUS,1745 MORSE RD,6,1,0,0,0,0,35,10,1
381,KROGERS FUEL CENTER #867,HILLIARD,2525 HILLIARD-ROME RD,5,1,0,0,0,0,25,10,1
382,LA CHAVETA CIGAR LOUNGE,COLUMBUS,3293 N HIGH ST,6,3,1,0,0,0,28,1,1
383,LA MICHOACANA #7,COLUMBUS,534 NORTON RD,11,2,0,0,0,0,22,5,1
384,LA MICHOACANA #8,COLUMBUS,5445 BETHEL SAWMILL CTR,2,5,1,0,0,0,28,1,1
385,LA MICHOACANA FRESH MARKET LLC,COLUMBUS,939 E DUBLIN GRANVILLE RD,4,5,2,0,1,0,4,1,0
386,LA MICHOACANA MARKET #2,COLUMBUS,3629 SULLIVANT AVE,10,5,0,0,0,0,18,1,1
387,LA MICHOACANA MEXICAN MARKET #1,COLUMBUS,3881 CLEVELAND AVE,6,1,0,0,0,0,4,10,0
388,LA MICHOACANA MKT #6,COLUMBUS,3160 S HAMILTON RD,12,4,2,0,1,0,24,1,1
389,LAS PALOMAS,COLUMBUS,2915 E 5TH AVE,11,5,0,0,0,0,9,1,0
390,LATERALUS GLASS,WESTERVILLE,5132 WALHAM GREEN RD APT. 301,4,4,0,0,0,0,23,1,1
391,LAYLA'S SMOKE SHOP,COLUMBUS,2498 SUMMIT ST,8,2,2,1,1,0,2,10,0
392,LAZELLE BEER WINE DRIVE THRU,WESTERVILLE,451 LAZELLE RD,2,4,1,1,0,1,7,6,0
393,LD SUNOCO,COLUMBUS,849 E 5TH AVE,9,1,0,0,0,0,2,10,0
394,LEONARD MARKET,COLUMBUS,2070 LEONARD AVE STE F,9,1,0,0,0,0,24,10,1
