Record ID,Name,City,Name2,Site Address,Class 1,# of Attempts,# of Pos Buys,Most Recent was pos,Had AC,In Appeal,Days Since Last Attempt,Priorty,Can Visit,
PR0053911,TOBACCO DISCOUNTERS,COLUMBUS,GRACELAND TOBACCO SHOP INC,208 GRACELAND BLVD,6,1,0,0,0,0,27,10,1,
PR0053863,COME AND GO CENTER,COLUMBUS,BORO GROUP CORP,884 OAKLAND PARK AVE,6,3,0,0,0,0,13,1,0,
PR0053686,TOBACCO PLUS CLINTONVILLE,COLUMBUS,4672 INDIANOLA INC,4672 INDIANOLA AVE,6,3,0,0,0,0,30,1,1,
PR0052604,SHARON SQUARE WINE SHOP,COLUMBUS,JAI OM SAI LLC,5590 N HIGH ST,6,1,0,0,0,0,31,10,1,
PR0052239,KINGS LOUNGE,COLUMBUS,KINGS LOUNGE LLC,3070 N HIGH ST,6,5,2,0,1,0,3,1,0,
PR0051530,MIKE'S MARKET,COLUMBUS,3327 MAIZE ROAD LLC,3327-29 MAIZE RD,6,4,3,0,1,0,7,1,0,
PR0047922,SUPER FOOD MART,COLUMBUS,CHITRAKUT LLC,3166 N HIGH ST,6,4,1,1,0,1,13,6,0,
PR0047400,MOZ MOZ,COLUMBUS,FAYIZ LLC,2700 N HIGH ST,6,1,0,0,0,0,25,10,1,
PR0046747,GOPUFF,COLUMBUS,GB LICENSE LLC,5235 N HIGH ST,6,1,1,1,0,0,19,15,1,
PR0046472,NORTH BROADWAY SUNOCO,COLUMBUS,LAXMI VENTURES LLC,700 E NORTH BROADWAY ST,6,3,1,0,0,0,20,1,1,
PR0042320,LA CHAVETA CIGAR LOUNGE,COLUMBUS,LA CHAVETA LLC,3293 N HIGH ST,6,3,1,0,0,0,28,1,1,
PR0041546,PACE HIGH CARRYOUT,COLUMBUS,SHIVAI ENTERPRISES LLC,3179 N HIGH ST,6,5,1,0,0,1,25,1,0,
PR0040953,SAVOR PINT,COLUMBUS,IHS GROUP LLC,4440 INDIANOLA AVE,6,1,0,0,0,0,13,10,0,
PR0040780,PALMER'S BEVERAGE CENTER,COLUMBUS,PALMER CARRY-OUT LLC,3375 INDIANOLA AVE,6,3,2,0,1,0,4,1,0,
PR0040802,SAVOR GROWL,COLUMBUS,YFH LLC,2991 INDIANOLA AVE,6,1,0,0,0,0,7,10,0,
PR0040675,USA TOBACCO,COLUMBUS,WORLD TRADE PLUS LLC,4967 N HIGH ST,6,1,0,0,0,0,28,10,1,
PR0040111,DUCHESS MORSE RD #1618,COLUMBUS,ENGLEFIELD INC,935 MORSE RD,6,5,2,1,0,0,25,6,0,
PR0039592,KROGER #N-819,COLUMBUS,KROGER CO,199 GRACELAND BLVD,6,5,0,0,0,0,14,1,1,
PR0039603,KROGER #971,COLUMBUS,KROGER CO,3417 N HIGH ST,6,3,0,0,0,0,19,1,1,
PR0039607,TRUE NORTH STORE #606,COLUMBUS,TRUE NORTH ENERGY LLC,1195 MORSE RD,6,1,1,1,0,1,15,15,0,
PR0039617,TURKEY HILL #704,COLUMBUS,TH MIDWEST INC,2685 N HIGH ST,6,2,0,0,0,0,31,5,1,
PR0039628,UNITED DAIRY FARMERS #635,COLUMBUS,UDF LIMITED PARTNERSHIP II,3388 INDIANOLA AVE,6,1,1,1,0,0,22,15,1,
PR0039657,UNITED DAIRY FARMERS #615,COLUMBUS,UDF LIMITED PARTNERSHIP I,5370 N HIGH ST,6,3,1,0,0,0,11,1,0,
PR0039678,WALGREENS #07368,COLUMBUS,WALGREEN CO,4890 N HIGH ST,6,4,1,0,0,0,9,1,0,
PR0039435,DUCHESS SHOPPE HIGH & HENDERSON #1264,COLUMBUS,ENGLEFIELD INC,4387 N HIGH ST,6,0,0,0,0,0,12,20,0,
PR0039488,SAHARA SHI-SHA CAFE,COLUMBUS,SAHARA SHI-SHA LLC,20 E ARCADIA AVE,6,5,1,0,0,0,30,1,1,
PR0039521,GIANT EAGLE #6512,COLUMBUS,TAMARKIN CO,2801 N HIGH ST,6,1,0,0,0,0,23,10,1,
PR0039562,SPEEDWAY 9770,COLUMBUS,SPEEDWAY LLC,1103 MORSE RD,6,1,0,0,0,0,2,10,0,
PR0039357,N HIGH BP,COLUMBUS,JAY GURUDEV INC,5385 N HIGH ST,6,2,0,0,0,0,17,5,1,
PR0039228,DOLLAR GENERAL #12721,COLUMBUS,DOLGEN MIDWEST LLC/OB,4932 N HIGH ST,6,2,0,0,0,0,5,5,0,
