Facility ID,Name,site_address,city,latitude,longitude
589,SNAG DELIVERY RETAIL STORE (OSU),1882 N HIGH ST,COLUMBUS,40.0006954,-83.008072
631,SPEEDY DRIVE THRU & SMOKE,2421 SULLIVANT AVE,COLUMBUS,39.9453463,-83.0632763
637,STAR MART,1910 LOCKBOURNE RD,COLUMBUS,39.9263399,-82.9649923
646,SUNOCO,726 W BROAD ST,COLUMBUS,39.9598848,-83.020335
650,SUNOCO WEST BROAD,2725 W BROAD ST,COLUMBUS,39.9549124,-83.0731268
661,THE SPACE STATION SMOKE SHOP,773 PARSONS AVE,COLUMBUS,39.9479916,-82.9827782
681,TOBACCO PLUS,2966 HAYDEN RD,COLUMBUS,40.0664634,-83.0967426
683,TOBACCO PLUS CLINTONVILLE,4672 INDIANOLA AVE,COLUMBUS,40.0600738,-83.0008593
686,TOKE N' JOKE HEADSHOP,1641 SULLIVANT AVE,COLUMBUS,39.9492289,-83.042598
723,UNITED DAIRY FARMERS #646,1043 W BROAD ST,COLUMBUS,39.958727,-83.0286309
738,UP IN SMOKE SHOP,2926 S HIGH ST,COLUMBUS,39.90193,-82.9952279
767,WEST BROAD CARRY OUT,1485 W BROAD ST,COLUMBUS,39.9573352,-83.0402368
769,WEST HENDERSON MARKET,2264 W HENDERSON RD,COLUMBUS,40.0589617,-83.0796803
779,YOUR BOYZ SMOKE SHOP,2357 W BROAD ST,COLUMBUS,39.95539,-83.063038
