Facility ID,Name,Site Address,City
119,CROWN TOBACCO AND VAPE,2750 S HAMILTON RD,COLUMBUS
120,CRUZ & BOOZE DRIVE THRU,1511 FREBIS AVE,COLUMBUS
121,CULEBRA CIGARS COMPANY,1786 W 5TH AVE,COLUMBUS
122,DAHAB RESTAURANT AND CAFE,3708 FISHINGER BLVD,HILLIARD
123,DAIRY FAMILY,184 W 5TH AVE,COLUMBUS
124,DAIRY LAND EXPRESS,2555 PETZINGER RD,COLUMBUS
125,DARBY SUNOCO,4537 SCIOTO DARBY RD,HILLIARD
126,DARSHAN MART,1283 MORSE RD,COLUMBUS
127,DASHMART,1530 GERRARD AVE,COLUMBUS
128,DAY MART,981 E LIVINGSTON AVE,COLUMBUS
129,DE STORE,5273 GENDER RD,CANAL WINCHESTER
130,DE STORE,5593 CHATTERTON RD,COLUMBUS
131,DEMOREST BEER DOCK,1232 DEMOREST RD,COLUMBUS
132,DEMOREST MARKET,1425 DEMOREST RD,COLUMBUS
133,DOLLAR EXPRESS #19258,128 N WILSON RD,COLUMBUS
134,DOLLAR GENERAL #06035,3150 HILLIARD ROME RD,COLUMBUS
135,DOLLAR GENERAL #10181,3636 LOCKBOURNE RD,COLUMBUS
136,DOLLAR GENERAL #10722,3350 CLEVELAND AVE STE 1970,COLUMBUS
137,DOLLAR GENERAL #10953,745 GEORGESVILLE RD,COLUMBUS
138,DOLLAR GENERAL #11851,3000 E BROAD ST,COLUMBUS
139,DOLLAR GENERAL #12259,4050 ALUM CREEK DR,COLUMBUS
140,DOLLAR GENERAL #12721,4932 N HIGH ST,COLUMBUS
141,DOLLAR GENERAL #13063,2012 LOCKBOURNE RD,COLUMBUS
142,DOLLAR GENERAL #14153,1391 E MAIN ST,COLUMBUS
143,DOLLAR GENERAL #17280,1862 HARD RD,COLUMBUS
144,DOLLAR GENERAL #30929,3355 E LIVINGSTON AVE,COLUMBUS
145,DOLLAR GENERAL #3235,1959 MORSE RD,COLUMBUS
146,DOLLAR GENERAL #3341,3221 S HIGH ST,COLUMBUS
147,DOLLAR GENERAL #6024,1162 HARRISBURG PIKE,COLUMBUS
148,DOLLAR GENERAL #7676,1260 DEMOREST RD,COLUMBUS
149,DOLLAR GENERAL #8184,4245 MACSWAY AVE,COLUMBUS
150,DOLLAR GENERAL #8351,1660 E DUBLIN GRANVILLE RD,COLUMBUS
151,DOLLAR GENERAL #8357,1237 MORSE RD,COLUMBUS
152,DOLLAR GENERAL #8422,5680 CLEVELAND AVE,COLUMBUS
153,DOLLAR GENERAL #9923,1130 NORTON RD,COLUMBUS
154,DOLLAR GENERAL STORE #16681,6335 REFUGEE RD,CANAL WINCHESTER
155,DOLLAR GENERAL STORE #17278,5950 E LIVINGSTON AVE,COLUMBUS
156,DOLLAR GENERAL STORE #17396,3561 SULLIVANT AVE,COLUMBUS
157,DOLLAR GENERAL STORE #20240,1350 W BROAD ST,COLUMBUS
158,DOLLAR GENERAL STORE #20932,2556 LOCKBOURNE RD,COLUMBUS
159,DOLLAR GENERAL STORE #21592,166 S HIGH ST,COLUMBUS
160,DOLLAR GENERAL STORE #22948,415 NORTON RD,COLUMBUS
161,DOLLAR GENERAL STORE #23287,1431 CLEVELAND AVE,COLUMBUS
162,DOLLAR PLUS,1975 CLEVELAND AVE,COLUMBUS
163,DOLLAR PLUS,993 MT VERNON AVE,COLUMBUS
164,DON'S DRIVE THRU,2618 HILLIARD ROME RD,HILLIARD
165,DONS QUICK STOP,1724 CLEVELAND AVE,COLUMBUS
166,DOWNTOWN CONVENIENCE,26 N HIGH ST FRONT,COLUMBUS
167,DOWNTOWN MOBIL,215 E RICH ST,COLUMBUS
168,DREAM EXCLUSIVE,2102 CLEVELAND AVE,COLUMBUS
169,DRIVE N GO DRIVE THRU,4827 E MAIN ST,COLUMBUS
170,DRIVE THRU 1,1201 N WILSON RD,COLUMBUS
171,DRUG MART #65,8951 S OLD STATE RD,LEWIS CENTER
172,DT EXPRESS,1131 E HUDSON ST,COLUMBUS
173,DUCHESS #1610/E  BROAD & NEW ALBANY RD,7040 E BROAD ST,COLUMBUS
174,DUCHESS #1634 EASTON,4024 MORSE RD,COLUMBUS
175,DUCHESS COLUMBUS #1631,4835 N HAMILTON RD,COLUMBUS
176,DUCHESS DUBLIN & GRANDVIEW #1616,1090 DUBLIN RD,COLUMBUS
177,DUCHESS E BROAD ST #1619,825 E BROAD ST,COLUMBUS
178,DUCHESS HIGH & GREENLAWN #1615,1091 S HIGH ST,COLUMBUS
179,DUCHESS I-70 & ROME HILLIARD #1623,925 HILLIARD ROME RD,COLUMBUS
180,DUCHESS I-71 & POLARIS PKWY #1622,1925 POLARIS PKWY,COLUMBUS
181,DUCHESS MORSE RD #1618,935 MORSE RD,COLUMBUS
182,DUCHESS OLENTANGY & 5TH #1612,1347 OLENTANGY RIVER RD,COLUMBUS
183,DUCHESS POLARIS FASHION MALL #1633,1060 POLARIS PKWY,COLUMBUS
184,DUCHESS SHOPPE EAST 5TH AVENUE #1259,2365 E 5TH AVE,COLUMBUS
185,DUCHESS SHOPPE HIGH & HENDERSON #1264,4387 N HIGH ST,COLUMBUS
186,DUCHESS SHOPPE LINWORTH #1271,2230 W DUBLIN GRANVILLE RD,WORTHINGTON
187,DUCHESS SHOPPE OLENTANGY & BETHEL #1267,5067 OLENTANGY RIVER RD,COLUMBUS
188,DUCHESS SHOPPE SANCUS BLVD #1270,7525 SANCUS BLVD,WORTHINGTON
189,DUCHESS SHOPPE WILSON RD #1260,850 WILSON RD,COLUMBUS
190,DUCHESS TUSSING & BRICE #1617,6310 TUSSING RD,REYNOLDSBURG
191,DUCHESS TUTTLE CROSSING #1625,5099 TUTTLE CROSSING BLV,DUBLIN
192,DUCHESS WORTHINGTON #1628,7141 N HIGH ST,WORTHINGTON
193,DUKE/DUCHESS #1626,7310 SAWMILL RD,COLUMBUS
194,E & E MARKET,778 E HUDSON ST,COLUMBUS
195,E & S MARKET,1800 E HUDSON ST,COLUMBUS
196,EAGLE FUEL,3851 E LIVINGSTON AVE,COLUMBUS
197,EAKIN ROAD MARKET,2220 EAKIN RD,COLUMBUS
198,EAST MAIN STREET SMOKESHOP & CARRYOUT,2914 E MAIN ST,COLUMBUS
199,EAST SIDE MARKET,2110 LEONARD AVE,COLUMBUS
200,EASTLAND FOOD MART,2213 COURTRIGHT RD,COLUMBUS
201,EASTLAND SHELL,2191 S HAMILTON RD,COLUMBUS
202,EASTLAND SUNOCO MINI MART,2190 S HAMILTON RD,COLUMBUS
203,EASTON MART,4242 MORSE RD,COLUMBUS
204,EASY MART,4366 KARL RD,COLUMBUS
205,ECKELS MARKET,1943 HARD RD,COLUMBUS
206,EL DORADO GAMING SCIOTO DOWNS - THE TERRACE,6000 S HIGH ST,COLUMBUS
207,EMPORIUM SMOKE SHOP,2016 SULLIVANT AVE,COLUMBUS
208,ERIKA KAY,3984 ALUM CREEK DR,COLUMBUS
