Facility Name,site_address,city,latitude,longitude
CHAMPS MARKET,219 W 8TH AVE,COLUMBUS,39.9919667,-83.0125578
CHATEAU WINE & SPIRITS,2131 POLARIS PKWY,COLUMBUS,40.142961,-82.9652451
CHEEMA MAIN ST MART,3140 E MAIN ST,COLUMBUS,39.9566496,-82.9143596
CHUCHAY'S SUPEERMARKET,6867 FLAGS CENTER DR,COLUMBUS,40.1097385,-82.9514371
CHUCK'S CARRY OUT,3140 ALLEGHENY AVE,COLUMBUS,39.980716,-82.918455
CIRCLE A,4432 WALFORD ST,COLUMBUS,40.0588311,-82.9614641
CIRCLE DRIVE THRU,1848 TAMARACK CIR S,COLUMBUS,40.076363,-82.9678372
CIRCLE K  #4705265,8303 SANCUS BLVD,WESTERVILLE,40.1354317,-82.9922056
CIRCLE K  #4705267,1573 SCHROCK RD,COLUMBUS,40.105187,-82.97441
CIRCLE K #4705268,5499 HALL RD,COLUMBUS,39.931033,-83.14446
CIRCLE K #4705269,3749 TWIN CREEKS DR,COLUMBUS,39.9791161,-83.1033763
CIRCLE K #4705559,3200 S HIGH ST,COLUMBUS,39.8962601,-82.9951752
CIRCLE K #4705686,2481 PETZINGER RD,COLUMBUS,39.927475,-82.9271769
CIRCLE K #4705698,1574 KENNY RD,COLUMBUS,39.9907298,-83.0352168
CIRCLE MART,1876 TAMARACK CIR S,COLUMBUS,40.0759021,-82.96785
CIRCLE SMOKE SHOP,1852 TAMARACK CIR S,COLUMBUS,40.0760676,-82.9679578
CIRCLE V FOOD,2124 W MOUND ST,COLUMBUS,39.940792,-83.054555
CITY TAVERN,697 N 4TH ST,COLUMBUS,39.9774621,-82.9981101
CLUB 185,185 E LIVINGSTON AVE,COLUMBUS,39.9525046,-82.9935859
COLUMBUS FOOD MARKET,981 E LIVINGSTON AVE,COLUMBUS,39.9494988,-82.9718452
COLUMBUS SMOKE SHOP,2516 BETHEL RD,COLUMBUS,40.0648034,-83.0871012
COME AND GO CENTER,884 OAKLAND PARK AVE,COLUMBUS,40.0326625,-82.9905247
CONVENIENT PLUS FOOD MART,1475 E LIVINGSTON AVE,COLUMBUS,39.9490344,-82.9584419
CONVENIENT PLUS FOOD MART,1541 FREBIS AVE,COLUMBUS,39.9340217,-82.9543037
CONVENIENT PLUS FOOD MART,3351 E MAIN ST,COLUMBUS,39.9563177,-82.9088306
CONVENIENT PLUS FOOD MART,5435 E LIVINGSTON AVE,COLUMBUS,39.943108,-82.8497184
COOKS,1225 OAKLAND PARK AVE,COLUMBUS,40.0318118,-82.9808361
CORNER STONE CRAFT BEER & WINE,61 PARSONS AVE,COLUMBUS,39.9629627,-82.98178
COUNTRY FOOD STORE,3861 SULLIVANT AVE,COLUMBUS,39.9422015,-83.1017269
CROWN TOBACCO AND VAPE,2750 S HAMILTON RD,COLUMBUS,39.9223413,-82.8798995
CRUZ & BOOZE DRIVE THRU,1511 FREBIS AVE,COLUMBUS,39.9340816,-82.9554416
CULEBRA CIGARS COMPANY,1786 W 5TH AVE,COLUMBUS,39.9893105,-83.0543845
DAIRY FAMILY,184 W 5TH AVE,COLUMBUS,39.9876657,-83.0105993
DAIRY LAND EXPRESS,2555 PETZINGER RD,COLUMBUS,39.929791,-82.925437
DAIRY MART #5460,4251 KIMBERLY PKWY,COLUMBUS,39.9259249,-82.8825096
DAIRY MART #5464,4242 MORSE RD,COLUMBUS,40.057529,-82.8982823
DARBY SUNOCO,4537 SCIOTO DARBY RD,HILLIARD,40.0179945,-83.1370154
DARSHAN MART,1283 MORSE RD,COLUMBUS,40.0605696,-82.9848428
DE STORE,5273 GENDER RD,CANAL WINCHESTER,39.8591131,-82.8278852
DE STORE,5593 CHATTERTON RD,COLUMBUS,39.9130959,-82.8376844
DEMOREST BEER DOCK,1232 DEMOREST RD,COLUMBUS,39.9298147,-83.0901791
DEMOREST MARKET,1425 DEMOREST RD,COLUMBUS,39.9212818,-83.0938341
DOLLAR EXPRESS #19258,128 N WILSON RD,COLUMBUS,39.9568754,-83.09061
DOLLAR GENERAL #06035,3150 HILLIARD ROME RD,COLUMBUS,39.9760842,-83.150177
DOLLAR GENERAL #10181,3636 LOCKBOURNE RD,COLUMBUS,39.887546,-82.9679014
DOLLAR GENERAL #10722,3350 CLEVELAND AVE STE 1970,COLUMBUS,40.036274,-82.9628438
DOLLAR GENERAL #10953,745 GEORGESVILLE RD,COLUMBUS,39.937286,-83.1132244
DOLLAR GENERAL #11851,3000 E BROAD ST,COLUMBUS,39.97127,-82.920979
DOLLAR GENERAL #12259,4050 ALUM CREEK DR,COLUMBUS,39.943282,-82.9445495
DOLLAR GENERAL #12721,4932 N HIGH ST,COLUMBUS,40.0631504,-83.0193545
DOLLAR GENERAL #13063,2012 LOCKBOURNE RD,COLUMBUS,39.924014,-82.9651784
DOLLAR GENERAL #14153,1391 E MAIN ST,COLUMBUS,39.9576086,-82.9622071
DOLLAR GENERAL #14198,1596 PARSONS AVE,COLUMBUS,39.9309719,-82.9838601
DOLLAR GENERAL #14679,2100 SULLIVANT AVE,COLUMBUS,39.947107,-83.054784
